Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Iris-setosa
2,4.9,3,4.362567675103483,0.2,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa
4,4.6,3.1,1.5,0.2,Iris-setosa
5,3.7497946286096204,3.6,1.4,0.2,Iris-setosa
6,5.4,3.9,1.7,0.4,Iris-setosa
7,4.6,3.310060681271518,1.4,0.49769954926661175,Iris-setosa
8,5,3.4,1.5,0.2,Iris-setosa
9,4.4,2.9,1.4,0.2,Iris-setosa
39.14654154435772,4.016191037987148,3.1,1.5,0.1,Iris-setosa
11,5.4,4.022940375762605,1.5,0.2,Iris-setosa
12,4.8,3.4,1.6,0.2,Iris-setosa
20.60151168603324,5.118002931237474,3,1.4,0.1,Iris-setosa
14,4.3,3,1.1,0.1,Iris-setosa
15,5.101140050602603,4,1.2,0.2,Iris-setosa
16,5.7,4.4,1.5,0.4,Iris-setosa
17,5.4,3.9,1.3,0.4,Iris-setosa
18,5.1,3.851275584725152,1.4,0.3,Iris-setosa
-45.73629298,5.7,3.8,1.7,0.3,Iris-setosa
8.887834065772616,5.1,3.8,1.5,0.7952082976252564,Iris-setosa
21,5.4,3.4,1.7,0.2,Iris-setosa
22,5.1,3.7,1.5,0.4,Iris-setosa
23,4.6,3.6,1,0.2,Iris-setosa
24,5.1,3.3,1.7,0.8588775633477118,Iris-setosa
25,4.8,3.4,1.9,0.2,Iris-setosa
26,5.589265530109432,3,0.8903368312767516,0.2,Iris-setosa
27,3.9718901767021526,3.672091950751066,1.6,0.4,Iris-setosa
28,5.2,3.5,1.5,0.2,Iris-setosa
29,5.2,3.4,1.4,0.2,Iris-setosa
30,4.7,3.2,1.6,0.2,Iris-setosa
31,4.8,3.1,1.6,0.2,Iris-setosa
13.516449773191255,5.4,3.4,1.5,0.4,Iris-setosa
33,5.2,4.1,1.5,0.1,Iris-setosa
34,5.5,4.2,4.08545213153626,0.2,Iris-setosa
35,4.9,3.2542830212920184,1.5,-1.08694049,Iris-setosa
36,5,3.2,1.2,0.2,Iris-setosa
23.607710700321093,5.5,3.5,1.3,0.2,Iris-setosa
38,4.9,3.1,1.5,0.1,Iris-setosa
39,4.4,3,1.3,0.2,Iris-setosa
40,5.1,3.4,1.5,0.2,Iris-setosa
41,5,3.5,1.3,-1.30542469,Iris-setosa
42,4.5,2.3,1.3,-0.961925998,Iris-setosa
43,4.4,3.2,1.3,0.2,Iris-setosa
44,5,3.5,1.6,0.8233660832079714,Iris-setosa
45,5.276691843593774,3.8,1.9,0.4,Iris-setosa
46,4.8,3,1.4,0.3,Iris-setosa
47,4.731490633257707,3.8,4.6382946244027945,0.2,Iris-setosa
48,4.6,3.2,1.4,0.2,Iris-setosa
49,5.3,3.7,-0.55715739,0.2,Iris-setosa
50,5,3.3,1.4,0.2,Iris-setosa
51,7,3.2,4.7,1.4,Iris-versicolor
52,6.4,3.2,4.5,1.5,Iris-versicolor
53,6.9,3.1,4.9,1.5,Iris-versicolor
54,5.5,2.3,4,1.3,Iris-versicolor
55,6.5,2.8,4.6,1.5,Iris-versicolor
56,5.7,2.8,4.5,1.3,Iris-versicolor
57,6.3,3.3,4.7,1.6,Iris-versicolor
58,5.298185107550898,2.4,3.3,1,Iris-versicolor
59,6.6,3.032798437004143,5.673353924447722,1.3,Iris-versicolor
60,5.2,2.7,3.9,1.4,Iris-versicolor
61,4.8155758746046695,2,3.5,1,Iris-versicolor
62,5.9,3,4.2,1.5,Iris-versicolor
63,6,2.2,4,1,Iris-versicolor
64,6.4905636228818775,2.9,4.7,1.4,Iris-versicolor
86.7128671650467,5.296432954721427,2.9,3.6,1.3,Iris-versicolor
66,6.7,3.1,4.4,1.4,Iris-versicolor
67,5.6,3,4.5,1.5,Iris-versicolor
68,5.8,2.7,4.1,0.018021673422400353,Iris-versicolor
80.13323964694138,6.2,2.2,4.5,1.5,Iris-versicolor
70,5.6,2.5,3.9,1.1,Iris-versicolor
71,5.9,3.2,4.8,1.8,Iris-versicolor
72,6.1,2.8,4,1.3,Iris-versicolor
73,6.3,2.5,1.8571900301256998,1.5,Iris-versicolor
50.859602994103994,6.1,2.8,4.7,1.2,Iris-versicolor
75,6.4,2.600561488110044,4.3,1.3,Iris-versicolor
76,7.3067870312383985,3,4.4,1.4,Iris-versicolor
67.81334510942705,6.8,2.8,4.8,1.4,Iris-versicolor
78,6.7,3,5,1.7,Iris-versicolor
111.20292759688283,6,2.9,4.5,1.5,Iris-versicolor
80,5.7,2.6,3.5,1.1572106136878322,Iris-versicolor
81,5.5,2.4,5.623873428421195,2.121577909063599,Iris-versicolor
82,5.5,2.4,3.1553077131672422,1,Iris-versicolor
96.61850523822793,5.8,2.7,3.9,1.2,Iris-versicolor
84,6,2.7,5.1,1.6,Iris-versicolor
85,5.4,3,4.5,1.5,Iris-versicolor
86,6,3.4,4.5,1.6,Iris-versicolor
87,6.7,3.1,4.7,1.5,Iris-versicolor
88,6.3,2.0579196792585197,4.4,1.3,Iris-versicolor
89,5.6,3,4.1,1.604411599089959,Iris-versicolor
90,5.5,2.5,4.249799232142481,1.3,Iris-versicolor
91,5.5,2.345308035872452,1.7752169414841048,1.2,Iris-versicolor
92,6.1,3,4.6,1.4,Iris-versicolor
93,5.8,2.6,4,1.2,Iris-versicolor
94,4.939894204304975,2.0309025320979606,3.3,1,Iris-versicolor
95,5.6,2.4869513321156043,4.2,1.3,Iris-versicolor
96,5.7,2.6417526411344836,4.2,1.2,Iris-versicolor
97,5.7,2.9,4.2,1.3,Iris-versicolor
98,6.2,2.9,3.1634634692592565,1.3,Iris-versicolor
99,5.1,2.5,3,1.1,Iris-versicolor
100,5.7,2.9214296746693287,4.1,1.3,Iris-versicolor
101,6.3,3.3,6,2.5,Iris-virginica
102,5.8,2.7,5.1,1.9,Iris-virginica
103,7.1,3,5.9,2.1,Iris-virginica
104,6.3,2.9,5.6,1.8,Iris-virginica
105,6.5,3,5.8,2.2,Iris-virginica
106,7.6,3,6.6,2.1,Iris-virginica
107,4.9,2.5,4.5,1.7,Iris-virginica
108,7.3,2.9,6.3,1.8,Iris-virginica
109,6.842926441817528,2.5,5.8,1.8,Iris-virginica
110,7.2,3.6,6.1,2.5,Iris-virginica
170.40205281758,6.5,3.2,5.1,2,Iris-virginica
112,6.4,3.0887590096003663,5.3,1.9,Iris-virginica
113,6.8,3,5.5,2.1,Iris-virginica
114,5.7,2.5,5,2,Iris-virginica
115,5.8,2.8,5.1,2.4,Iris-virginica
116,6.4,3.567152640648398,5.3,2.3,Iris-virginica
117,6.5,3,5.5,1.8,Iris-virginica
118,7.7,3.8,6.7,2.2,Iris-virginica
84.8248713325772,7.7,2.6,6.9,2.3,Iris-virginica
120,6,2.2,5,1.5,Iris-virginica
121,6.9,3.2,5.7,2.3,Iris-virginica
122,5.6,2.8,4.9,2,Iris-virginica
123,7.7,2.8,6.7,2,Iris-virginica
124,6.3,2.7,4.9,1.5339500576389895,Iris-virginica
125,6.7,3.3,5.7,2.1,Iris-virginica
126,7.2,3.2,6,1.8,Iris-virginica
127,6.2,2.8,4.8,1.8,Iris-virginica
128,6.1,3,4.9,1.4282355046946091,Iris-virginica
129,6.4,2.8,5.6,2.1,Iris-virginica
130,7.2,3,5.8,1.6,Iris-virginica
131,7.4,2.8,6.1,1.9,Iris-virginica
132,7.9,3.8,6.4,2,Iris-virginica
133,6.4,2.8,5.6,2.2,Iris-virginica
134,6.3,2.8,5.1,1.5,Iris-virginica
135,6.1,2.6,5.0313394958333415,1.4,Iris-virginica
136,7.7,3,3.1806350680717905,2.3,Iris-virginica
137,6.3,3.4,5.6,2.4,Iris-virginica
138,6.4,3.1,5.5,1.8,Iris-virginica
139,6,3,4.8,1.8,Iris-virginica
140,6.9,3.1,5.210105288816142,1.5032903541330984,Iris-virginica
141,6.7,3.1,5.6,2.4,Iris-virginica
192.1498387101507,6.9,3.1,5.1,2.3,Iris-virginica
143,5.8,2.7,5.1,1.9,Iris-virginica
144,6.8,3.2,5.9,2.3,Iris-virginica
145,6.7,3.3,5.7,1.6102593684065138,Iris-virginica
146,6.7,3,5.2,2.3,Iris-virginica
147,6.3,2.5,5,1.9,Iris-virginica
148,6.5,3,5.2,2,Iris-virginica
149,6.2,3.4,5.4,2.3,Iris-virginica
150,5.9,3,5.1,1.8,Iris-virginica
